Fecha,Tipo Entidad,Código Entidad,Código Tipo Persona,Código Sexo,Código Tipo Garantía,Código Tamaño Empresa,Código Tipo Crédito,Código Producto,Código Plazo,Monto Desembolsado,Tasa,Margen UVR,Número Desembolsos,Código Grupo Étnico,Tipo Tasa,Código Clase Deudor,Código Antiguedad,Código Rango Monto,Código CIIU,Código Municipio
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$13800000,41.63,0,23,7,FS,1,10,201,3830,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$18945000,42.02,0,2,7,FS,2,10,204,10,76001
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$376,36.55,0,1,7,FS,2,10,201,9602,5001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$6000,0,0,1,7,FS,2,10,201,5320,5001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$6540,0,0,1,7,FS,1,10,201,4751,25307
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$7200,0,0,1,7,FS,1,10,201,7911,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$7900,0,0,1,7,FS,1,10,201,10,47245
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$7900,0,0,1,7,FS,1,10,201,8621,68001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$7900,0,0,1,7,FS,1,10,201,4711,76834
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$8864,36.55,0,2,7,FS,2,10,201,4799,63001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$9999,0,0,1,7,FS,1,10,201,10,41551
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$9999,0,0,1,7,FS,2,10,201,124,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$9999,0,0,1,7,FS,2,10,201,8622,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$9999,0,0,1,7,FS,2,10,201,10,68079
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$10000,0,0,1,7,FS,1,10,201,5613,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$10000,0,0,1,7,FS,1,10,201,111,73001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$10490,0,0,1,7,FS,1,10,201,4729,68001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$11000,0,0,1,7,FS,2,10,201,113,25175
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$11070,36.55,0,1,7,FS,2,10,201,4711,8001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$11900,0,0,1,7,FS,1,10,201,4711,81736
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$11900,0,0,1,7,FS,2,10,201,10,5129
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$12000,0,0,1,7,FS,2,10,201,3110,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$12875,0,0,2,7,FS,1,10,201,4711,50689
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$13600,0,0,1,7,FS,2,10,201,1084,8001
2023-09-29 00:00:00,1,55,1,1,1,1,3,301,202,"$13798,31",41.95,0,1,7,FS,2,3,201,10,17001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$13830,0,0,1,7,FS,2,10,201,4711,52001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$13900,0,0,1,7,FS,1,10,201,4711,8758
2023-09-29 00:00:00,1,55,1,1,1,1,3,301,202,$13900,41.95,0,1,7,FS,2,3,201,90,5360
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$14000,24.9,0,1,7,FS,2,10,201,5914,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$14080,0,0,1,7,FS,2,10,201,4652,20001
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$14570,24.9,0,1,7,FS,2,10,201,4669,73520
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$14900,0,0,1,7,FS,1,10,201,4711,8001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$15200,0,0,1,7,FS,1,10,201,4663,25799
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$15300,0,0,1,7,FS,1,10,201,3811,25269
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$16000,0,0,1,7,FS,2,10,201,6910,50001
2023-09-29 00:00:00,1,55,1,1,1,1,3,301,202,"$16399,74",41.95,0,1,7,FS,2,10,201,10,5001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$16900,0,0,1,7,FS,2,10,201,2221,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$16900,0,0,1,7,FS,2,10,201,8691,20001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$16900,0,0,1,7,FS,2,10,201,7010,68001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$16900,0,0,1,7,FS,2,10,201,6810,68081
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$16900,24.9,0,1,7,FS,2,10,201,4669,66001
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$16900,36.55,0,1,7,FS,2,10,201,4642,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$17050,0,0,1,7,FS,2,10,201,9602,52835
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$17500,0,0,1,7,FS,1,10,201,4731,81001
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$17610,24.9,0,1,7,FS,2,10,201,4771,17001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$19900,0,0,1,7,FS,1,10,201,1709,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$19900,0,0,1,7,FS,2,10,201,4330,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,202,$19900,0,0,1,7,FS,2,10,201,10,44874
2023-09-29 00:00:00,1,30,1,1,1,1,3,301,202,$20000,24.9,0,1,7,FS,2,10,201,5612,25175
